exit_reason,exit_day,return,stock_id,stock_name,buy_date
止损-20%,105,-0.205513784461153,000036.SZ,华联控股,2011-04-28
止盈30%,10,0.2841509433962266,000036.SZ,华联控股,2012-03-28
到期120天,120,-0.02147239263803667,000036.SZ,华联控股,2013-03-04
到期120天,120,-0.031802120141342705,000036.SZ,华联控股,2013-12-23
止盈30%,39,0.24069148936170226,000036.SZ,华联控股,2015-01-19
止损-20%,118,-0.20310981535471329,000036.SZ,华联控股,2017-09-25
止损-20%,40,-0.20108108108108116,000036.SZ,华联控股,2018-03-01
止盈30%,60,0.24444444444444452,000036.SZ,华联控股,2021-08-18
止盈30%,69,0.26610169491525404,000036.SZ,华联控股,2024-06-24
止盈30%,42,0.22457786116322712,000037.SZ,深南电A,2009-09-01
止损-20%,72,0.03817365269461072,000037.SZ,深南电A,2010-01-26
到期120天,120,0.037291280148422985,000037.SZ,深南电A,2011-04-28
到期120天,120,0.10100000000000003,000037.SZ,深南电A,2012-03-28
到期120天,120,0.12335025380710667,000037.SZ,深南电A,2012-11-27
到期120天,120,0.07347908745247156,000037.SZ,深南电A,2016-12-05
止损-20%,77,-0.20189941116716137,000037.SZ,深南电A,2018-05-30
止损-20%,29,-0.21355111917725353,000037.SZ,深南电A,2020-09-04
止盈30%,20,0.2865612648221344,000037.SZ,深南电A,2022-08-02
止盈30%,117,0.3146583850931676,000037.SZ,深南电A,2022-12-28
止损-20%,44,-0.20483091787439606,000037.SZ,深南电A,2023-08-09
到期120天,42,-0.051591657519209536,000037.SZ,深南电A,2025-08-04
止盈30%,30,0.22513312034078795,000039.SZ,中集集团,2009-06-15
到期120天,120,0.07111403997578675,000039.SZ,中集集团,2011-04-27
止损-20%,71,-0.1345665189791083,000039.SZ,中集集团,2012-03-28
止盈30%,51,0.23125512715340443,000039.SZ,中集集团,2013-10-28
止盈30%,49,0.22824589295177528,000039.SZ,中集集团,2015-01-19
止损-20%,3,-0.23411816970235472,000039.SZ,中集集团,2015-08-20
止盈30%,57,0.21747450566329488,000039.SZ,中集集团,2017-05-08
止损-20%,85,-0.27015250544662295,000039.SZ,中集集团,2018-02-06
止盈30%,31,0.21464037185058102,000039.SZ,中集集团,2021-06-04
止损-20%,112,-0.22290640394088665,000039.SZ,中集集团,2021-11-04
止损-20%,70,-0.20923787528868354,000042.SZ,中洲控股,2010-01-04
到期120天,120,0.17366336633663373,000042.SZ,中洲控股,2010-09-20
止盈30%,26,0.23101970865467,000042.SZ,中洲控股,2014-10-23
到期120天,120,0.13287966962264924,000042.SZ,中洲控股,2018-02-06
止损-20%,49,-0.21394064872325738,000042.SZ,中洲控股,2018-10-17
到期120天,120,0.1188113557201007,000042.SZ,中洲控股,2020-02-03
止盈30%,18,0.22559999999999997,000042.SZ,中洲控股,2022-03-09
止盈30%,27,0.23498190591073592,000042.SZ,中洲控股,2022-08-04
止盈30%,93,0.25625,000042.SZ,中洲控股,2024-06-20
止盈30%,30,0.2669473684210526,000042.SZ,中洲控股,2024-12-25
止盈30%,55,0.22093023255813946,000045.SZ,深纺织A,2009-08-14
止损-20%,85,-0.20042194092827018,000045.SZ,深纺织A,2011-01-17
止损-20%,80,-0.22554660529344062,000045.SZ,深纺织A,2012-03-26
到期120天,120,0.1130146082337317,000045.SZ,深纺织A,2013-03-26
止盈30%,62,0.24135135135135122,000045.SZ,深纺织A,2013-11-07
止损-20%,31,-0.24982256919801266,000045.SZ,深纺织A,2017-03-08
到期120天,120,0.0023415977961432043,000045.SZ,深纺织A,2019-05-06
到期120天,120,0.10602282534681683,000045.SZ,深纺织A,2019-10-31
止盈30%,73,0.23612716763005775,000045.SZ,深纺织A,2020-03-23
止盈30%,37,0.27195571955719544,000045.SZ,深纺织A,2022-09-26
止损-20%,12,-0.22735849056603769,000045.SZ,深纺织A,2024-01-17
到期120天,120,0.01880875374028903,000045.SZ,深纺织A,2024-12-30
到期120天,120,-0.0543383947939263,000048.SZ,京基智农,2011-08-08
止损-20%,73,-0.21022727272727273,000048.SZ,京基智农,2011-12-07
止盈30%,65,0.21883468834688335,000048.SZ,京基智农,2013-07-05
到期120天,120,0.10863113264688062,000048.SZ,京基智农,2016-02-29
到期120天,120,0.10946078431372552,000048.SZ,京基智农,2018-10-16
止盈30%,93,0.23038167938931306,000048.SZ,京基智农,2019-05-17
止盈30%,58,0.22976723670228577,000048.SZ,京基智农,2020-05-27
止损-20%,18,-0.22618351841028633,000048.SZ,京基智农,2020-11-02
到期120天,120,-0.06181619256017515,000048.SZ,京基智农,2021-06-21
止损-20%,92,-0.20021567256716527,000048.SZ,京基智农,2022-05-17
到期120天,120,0.0011142061281337393,000048.SZ,京基智农,2023-10-13
止盈30%,45,0.2590543259557344,000049.SZ,德赛电池,2009-12-22
止损-20%,46,-0.20383275261324044,000049.SZ,德赛电池,2010-11-16
到期120天,120,0.11064025794564722,000049.SZ,德赛电池,2011-08-08
到期120天,120,0.16749519662011908,000049.SZ,德赛电池,2012-07-27
止盈30%,76,0.2439230904921504,000049.SZ,德赛电池,2013-09-11
到期120天,120,-0.07356479015257517,000049.SZ,德赛电池,2014-02-21
止损-20%,119,-0.20262312633832985,000049.SZ,德赛电池,2014-07-07
止盈30%,57,0.2288036237676525,000049.SZ,德赛电池,2019-11-01
止盈30%,93,0.2327857783019631,000049.SZ,德赛电池,2020-03-12
止损-20%,22,-0.2138560464633894,000049.SZ,德赛电池,2022-01-28
到期120天,120,0.05976714100905556,000049.SZ,德赛电池,2024-08-09
到期120天,120,0.022340873584061137,000049.SZ,德赛电池,2025-01-02
止盈30%,41,0.29395833333333343,000050.SZ,深天马A,2009-08-17
止盈30%,58,0.23536231884057962,000050.SZ,深天马A,2010-04-30
止损-20%,75,-0.10460251046025097,000050.SZ,深天马A,2012-04-10
止盈30%,58,0.24071038251366114,000050.SZ,深天马A,2012-11-15
