id,date,qfq,hfq,last_update
000021.SZ,20200102,0.936335,0.000000,2025-08-12 13:35:24
000021.SZ,20200618,0.966885,0.000000,2025-08-12 13:35:24
000021.SZ,20210107,0.959617,0.000000,2025-08-12 13:35:24
000021.SZ,20210610,0.967302,0.000000,2025-08-12 13:35:24
000021.SZ,20220617,0.959496,0.000000,2025-08-12 13:35:24
000021.SZ,20230601,0.979739,0.000000,2025-08-12 13:35:24
000021.SZ,20230726,0.983488,0.000000,2025-08-12 13:35:24
000021.SZ,20240625,0.977607,0.000000,2025-08-12 13:35:24
000021.SZ,20240626,0.978261,0.000000,2025-08-12 13:35:24
000021.SZ,20240627,0.987013,0.000000,2025-08-12 13:35:24
000021.SZ,20250611,1.000000,0.000000,2025-08-12 13:35:24
000025.SZ,20180816,0.681285,0.000000,2025-08-12 13:35:24
000025.SZ,20180828,0.680896,0.000000,2025-08-12 13:35:24
000025.SZ,20190515,0.987899,0.000000,2025-08-12 13:35:24
000025.SZ,20200102,0.988263,0.000000,2025-08-12 13:35:24
000025.SZ,20200527,0.988636,0.000000,2025-08-12 13:35:24
000025.SZ,20210107,0.987662,0.000000,2025-08-12 13:35:24
000025.SZ,20210628,0.987984,0.000000,2025-08-12 13:35:24
000025.SZ,20220621,0.994326,0.000000,2025-08-12 13:35:24
000025.SZ,20230601,0.990577,0.000000,2025-08-12 13:35:24
000025.SZ,20230712,0.992802,0.000000,2025-08-12 13:35:24
000025.SZ,20240619,0.992903,0.000000,2025-08-12 13:35:24
000025.SZ,20240625,0.992515,0.000000,2025-08-12 13:35:24
000025.SZ,20240626,0.992674,0.000000,2025-08-12 13:35:24
000025.SZ,20250528,1.000000,0.000000,2025-08-12 13:35:24
000026.SZ,20080626,0.343091,0.000000,2025-08-12 13:35:24
000026.SZ,20090715,0.387368,0.000000,2025-08-12 13:35:24
000026.SZ,20100804,0.493818,0.000000,2025-08-12 13:35:24
000026.SZ,20110427,0.766562,0.000000,2025-08-12 13:35:24
000026.SZ,20120601,0.740472,0.000000,2025-08-12 13:35:24
000026.SZ,20130813,0.609618,0.000000,2025-08-12 13:35:24
000026.SZ,20140731,0.698754,0.000000,2025-08-12 13:35:24
000026.SZ,20150806,0.796016,0.000000,2025-08-12 13:35:24
000026.SZ,20160624,0.771588,0.000000,2025-08-12 13:35:24
000026.SZ,20170622,0.808907,0.000000,2025-08-12 13:35:24
000026.SZ,20180730,0.744982,0.000000,2025-08-12 13:35:24
000026.SZ,20180816,0.702889,0.000000,2025-08-12 13:35:24
000026.SZ,20180828,0.709677,0.000000,2025-08-12 13:35:24
000026.SZ,20190812,0.715942,0.000000,2025-08-12 13:35:24
000026.SZ,20200102,0.826702,0.000000,2025-08-12 13:35:24
000026.SZ,20200701,0.799544,0.000000,2025-08-12 13:35:24
000026.SZ,20210107,0.843694,0.000000,2025-08-12 13:35:24
000026.SZ,20210601,0.906897,0.000000,2025-08-12 13:35:24
000026.SZ,20220610,0.896755,0.000000,2025-08-12 13:35:24
000026.SZ,20230601,0.915459,0.000000,2025-08-12 13:35:24
000026.SZ,20230615,0.933054,0.000000,2025-08-12 13:35:24
000026.SZ,20240612,0.956284,0.000000,2025-08-12 13:35:24
000026.SZ,20240625,0.954494,0.000000,2025-08-12 13:35:24
000026.SZ,20240626,0.955457,0.000000,2025-08-12 13:35:24
000026.SZ,20250528,1.000000,0.000000,2025-08-12 13:35:24
000027.SZ,20080724,0.252772,0.000000,2025-08-12 13:35:24
000027.SZ,20090715,0.323529,0.000000,2025-08-12 13:35:24
000027.SZ,20100713,0.285862,0.000000,2025-08-12 13:35:24
000027.SZ,20110616,0.337679,0.000000,2025-08-12 13:35:24
000027.SZ,20120614,0.320700,0.000000,2025-08-12 13:35:24
000027.SZ,20130531,0.289608,0.000000,2025-08-12 13:35:24
